"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2023-08-27T07:42:14.000Z","image","Official, completed. Nathan Tella joins Bayer Leverkusen from Southampton on £20m package deal. 🔴⚫️🤝🏻 #Bayer04

Deal includes sell-on clause, contract until June 2028.","","https://pbs.twimg.com/media/F4hZHuEW0AEONIv?format=jpg&name=small","19K","1.1K","369"
"2023-08-27T07:30:43.000Z","image","FC Porto and Ajax have just resolved the final issues for Jorge Sánchez deal — it’s all done and sealed 🔵🐉🇲🇽 #FCPorto

Medical tests booked for the Mexican fullback. He’s gonna travel to Porto in the next 24/48h.

Here we go, confirmed.","","https://pbs.twimg.com/media/F4hWe85WwAAU3j9?format=jpg&name=small","20K","1.2K","270"
"2023-08-27T07:00:00.000Z","image","Dean Henderson to Crystal Palace, here we go! Agreement in place and medical to be completed today — permanent move from Man Utd 🔵🔴🏴󠁧󠁢󠁥󠁮󠁧󠁿 #CPFC

United to receive £20m package, add ons included. Sell on clause will be also part of the deal.

🇹🇷 Bayindir to Man Utd, soon.","","https://pbs.twimg.com/media/F4frxHJW4AAYhPC?format=jpg&name=small","70K","6.6K","1.1K"
"2023-08-27T06:51:00.000Z","image","Beto, on Merseyside set to undergo medical tests as Everton player from Udinese 🔵🩺 #EFC

Deal agreed on fee in excess of €30m package. Personal terms also agreed on long term contract.

Here we go, confirmed.","","https://pbs.twimg.com/media/F4ftVeCWIAA8aZ5?format=jpg&name=small","14K","1K","357"
"2023-08-26T23:36:02.000Z","text","Crystal Palace will complete details of Dean Henderson deal with Man Utd in the morning. Permanent move, 100% confirmed. 🔵🔴 #CPFC","","","45K","3.2K","595"
"2023-08-26T22:38:06.000Z","image","AC Milan manager Pioli on Krunic deal with OL or Fenerbahçe: “Rade Krunic will stay here, yes”. ⛔️🔴⚫️ #ACMilan","","https://pbs.twimg.com/media/F4fckxnXIAACFKS?format=jpg&name=small","19K","946","321"
"2023-08-26T21:29:37.000Z","image","Mohammed Kudus has successfully completed medical tests in London as new West Ham player 🚨⚒️🇬🇭

Contract until June 2028 plus option to extend will be signed on Sunday.

Here we go, confirmed.","","https://pbs.twimg.com/media/F4fM51zWsAAsrbD?format=jpg&name=small","104K","9.1K","1.4K"
"2023-08-26T20:18:16.000Z","image","EXCL: Manchester United made contact with Chelsea to ask about conditions of Marc Cucurella deal on potential loan — no bid or concrete talks yet 🚨🔴🇪🇸

United looking for LB opportunity but not too expensive — there are three candidates in the list. No decision made yet.","","https://pbs.twimg.com/media/F4e8kpCWMAAZKeY?format=jpg&name=small","69K","12K","5.6K"
"2023-08-26T18:36:38.000Z","image","Official, confirmed: Djordje Petrović as new GK on seven year contract 🔵🇷🇸

“I met with the coaching staff at the hotel before the game against Luton — they told me everything that I wanted to hear, also that I will have the opportunity to grow”, Petrović says.","","https://pbs.twimg.com/media/F4elT6WWkAAeRjX?format=jpg&name=small","19K","1.6K","429"
"2023-08-26T17:58:19.000Z","image","Understand Turkisk GK Altay Bayindir is already in England ahead of move to Manchester United 🚨🔴🇹🇷 #MUFC

€7m package deal agreed with Fener, just waiting to complete final steps as Dean Henderson will join Palace.","","https://pbs.twimg.com/media/F4ecid-XgAADKRO?format=jpg&name=small","53K","3.9K","712"
"2023-08-26T17:43:50.000Z","image","Djordje Petrović signed his Chelsea 7 year deal on Friday — medical done on Thursay, official statement soon 🔵🇷🇸Djordje Petrović, already in London after VISA process completed in Paris — told he will sign his contract as new Chelsea player until June 2030 in the afternoon, ahead of Luton game 🚨🔵🇷🇸 #CFC

Medical already completed yesterday.

Here we go, confirmed.","","https://pbs.twimg.com/media/F4XhqcNXEAA8QYj?format=jpg&name=small","15K","1.3K","337"
"2023-08-26T16:15:50.000Z","image","Sofyan Amrabat has not been called up for Fiorentina game. ⛔️🟣 #MUFC

As revealed earlier today, Amrabat’s no longer gonna play or train with 1st team of Fiorentina until his transfer situation gets resolved.

Amrabat, waiting for Man United since end of June.","","https://pbs.twimg.com/media/F4eFFLoXAAAVy7Y?format=jpg&name=small","52K","5K","1.2K"
"2023-08-26T16:02:38.000Z","image","Carlos Baleba to Brighton, here we go! Verbal agreement reached with Lille on €27m fixed fee plus €3m add-ons and sell-on clause included 🚨🔵 #BHAFC

Personal terms agreed, medical booked.

2004 born midfielder will replace Caicedo.

Exclusive from 2 weeks ago, confirmed.","","https://pbs.twimg.com/media/F4eCD5wWEAEajTf?format=jpg&name=small","43K","4K","1K"
"2023-08-26T16:02:25.000Z","text","😉","","","255","6","24"
"2023-08-26T15:37:45.000Z","image","There are some issues to resolve on Ajax side for Jorge Sánchez deal with Porto — it was verbally agreed but some points have to be clarified 🔵🐉

Ajax making it difficult on key details but they already signed replacement. Porto waiting for green light, player waiting to fly.","","https://pbs.twimg.com/media/F4d8MVUXsAAA8Ba?format=jpg&name=small","15K","918","273"
"2023-08-26T14:41:39.000Z","text","⏳⏳","","","189","4","9"
"2023-08-26T14:33:25.000Z","text","now you’ll see it everywhere 😂😉","","","47","5","11"
"2023-08-26T14:31:59.000Z","image","EXCL: Olympique Marseille agree deal to sign Michael Murillo from Anderlecht on permanent deal, here we go! 🚨⚪️🔵🇵🇦 #OM

27 yo right back will join OM in the next hours, agreement between all parties also on personal terms. #TeamOM","","https://pbs.twimg.com/media/F4dtMfXXAAAzway?format=jpg&name=small","21K","4.6K","612"
"2023-08-26T14:13:45.000Z","image","EXCL: Brighton now close to reaching total agreement with Lille for Carlos Baleba, top target in midfield 🚨🔵🇨🇲

New bid up to €30m package add-ons included, it’s very close — now finalising key details ⏳

Brighton never left the race for 2004 born midfielder despite reports.","","https://pbs.twimg.com/media/F4dpI6GXYAAw0mJ?format=jpg&name=small","14K","1.1K","308"
"2023-08-26T14:10:30.000Z","text","👀","","","325","18","38"
"2023-08-26T13:40:14.000Z","image","Understand Everton have reached an agreement with Udinese for Beto! Deal in place for fee in excess of €30m — under the release clause 🚨🔵 #EFC

Personal terms also agreed, just final details to be sorted.

Medical to take place on Sunday if all goes to plan.

Here we go, soon.","","https://pbs.twimg.com/media/F4dhd-NXoAAokCu?format=jpg&name=small","18K","1.7K","494"
