"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2023-07-29T06:42:00.000Z","image","AC Milan will complete formal process in order to sign Yunus Musah in the next hours. Verbal agreement in place since Friday for €20m package. 🔴⚫️🇺🇸

Milan will send official bid to Valencia, Musah will undergo medical tests next week.","","https://pbs.twimg.com/media/F2KWvBOXEAAA43m?format=jpg&name=small","18K","1.3K","162"
"2023-07-29T06:18:00.000Z","image","LA Galaxy are closing in on Maya Yoshida deal, he's set to join MLS side as free agent. Verbal agreement at the final stages. 🇺🇸🇯🇵 #transfers 

Deal could be completed next week, as  called.","","https://pbs.twimg.com/media/F2KWSjpX0AENIM1?format=jpg&name=small","23K","1.8K","153"
"2023-07-29T06:04:00.000Z","image","Chiquinho will make a decision on his future in the next days, his camp is gonna meet Benfica as contract will expire in June 2024. 🔴 #Benfica

Dynamo Moscow, Italian and Turkish club are interested in signing him.","","https://pbs.twimg.com/media/F2KVxNBXQAAx0yv?format=jpg&name=small","14K","845","157"
"2023-07-29T01:41:29.000Z","image","Edinson Cavani to Boca Juniors, here we go! Verbal agreement completed on deal valid until December 2024 🟡🔵🏹

Cavani has accepted conditions of the agreement as he’s leaving Valencia on free transfer, as reported yesterday.

Contracts to be signed soon.
Cavani ✖️ la Bombonera.","","https://pbs.twimg.com/media/F2KwcYpW0AArBUR?format=jpg&name=small","95K","11K","1.2K"
"2023-07-29T01:40:13.000Z","image","🟡🔵🔒🇺🇾 #BocaEdinson Cavani, set to part ways with Valencia as the agreement on contract termination is imminent ⚪️🇺🇾

Cavani will be available as free agent but Boca Juniors already sent him formal proposal, talks are advanced; Boca hope to get it sealed soon 🟡🔵","","https://pbs.twimg.com/media/F2FUdboWcAAHcuC?format=jpg&name=small","31K","2.3K","442"
"2023-07-28T22:39:42.000Z","image","“I don't mind being asked again about Kylian Mbappé… I just don't answer!”, Carlo Ancelotti says to journalists @ press conference. ⚪️🤐","","https://pbs.twimg.com/media/F2KG1hWW4AA5Kdg?format=jpg&name=small","43K","1.8K","217"
"2023-07-28T22:28:06.000Z","image","Bruno Guimarães on new contract talks via : “There is no news. I want to stay, but the doubt is ongoing. So, let’s see”. ⚪️⚫️🇧🇷 #NUFC

Newcastle are already working on that, new deal has been offered and it will be a priority. Club remain confident.","","https://pbs.twimg.com/media/F2KDfK1XoAENKmm?format=jpg&name=small","22K","1.1K","217"
"2023-07-28T21:47:07.000Z","video","🛬 Galatasaray fans welcoming Mauro Icardi back to the club tonight. 🟡🔴

€10m deal with PSG, completed. 🇹🇷","blob:https://twitter.com/525aa593-5174-47ab-85c8-e80ef71e0f8c,blob:https://twitter.com/d189cc03-c410-498d-887c-a5e777f75c2a","https://pbs.twimg.com/amplify_video_thumb/1685044185114587137/img/gkMl1x3ZjwjJ-3Oj.jpg,https://pbs.twimg.com/amplify_video_thumb/1685044185110347776/img/CC6VJK_-gQTPRsCI.jpg","85K","5.8K","613"
"2023-07-28T21:33:49.000Z","image","✅🔵🔒🇳🇱 #MCFCEXCL: Manchester City have reached an agreement with Nathan Aké, it’s done — set to be sealed in the next days 🔵🔒

After talks progressing earlier this week, verbal agreement reached today. New long term deal in place with salary to be increased.

Here we go 🇳🇱","","https://pbs.twimg.com/media/F1-eC5PWYAAGNPi?format=jpg&name=small","14K","656","139"
"2023-07-28T21:13:04.000Z","image","Galatasaray are still negotiating with Manchester United for Fred, trying to find a solution in the next days 🟡🔴

Talks continue while there are also other clubs trying to enter the race.","","https://pbs.twimg.com/media/F2JzAsMXUAAOJDO?format=jpg&name=small","107K","6K","1.2K"
"2023-07-28T20:31:19.000Z","image","Understand Paris Saint-Germain had approach with €30m bid ready rejected by Olympique Lyon for Bradley Barcola 🚨🔴🔵 #PSG

PSG focused on Ousmane Dembélé by activating contacts to trigger €50m release clause.

…but again, nothing done yet. It depends on Dembélé.","","https://pbs.twimg.com/media/F2JpLm2XAAEQIPO?format=jpg&name=360x360,https://pbs.twimg.com/media/F2JpLm4WQAAiNcv?format=jpg&name=360x360","40K","2.4K","292"
"2023-07-28T18:18:58.000Z","image","Jordan Holsgrove leaves Paços and joins Olympiacos, deal completed today — he will now join Estoril on loan. ⚪️🔴","","https://pbs.twimg.com/media/F2JLKWqW8Bg5C3e?format=jpg&name=small","10K","609","80"
"2023-07-28T18:10:46.000Z","image","Matthias Jaissle to Al Ahli, official and confirmed now 🟢✅🇸🇦 #AlAhliEXCL: Matthias Jaissle, here posing with his agents after signing contract as new Al Ahli manager 🚨🟢🇸🇦

Deal sealed on three year contract valid until June 2026.

Jaissle leaves RB Salzburg and joins Al Ahli… with Firmino, Mahrez, Mendy and soon Saint Maximin.

Here we go ✔️","","https://pbs.twimg.com/media/F2I0_CxXoAYVIdp?format=jpg&name=small","9.7K","674","118"
"2023-07-28T18:04:25.000Z","image","Official, confirmed. Calvin Bassey joins Fulham on €22.5m deal from Ajax ⚪️⚫️

“I know how big of a club Fulham is. They always have quality players, they’re playing in the Premier League, the best league in the world, so I didn’t have to think much about it!”, Bassey says.","","https://pbs.twimg.com/media/F2JH09CWsAUxH6l?format=jpg&name=small","23K","1.7K","272"
"2023-07-28T17:46:59.000Z","image","Chelsea have not left the negotiations for Moisés Caicedo, despite reports on Thursday. Deal on, as of today. 🚨🔵 #CFC

Brighton remain on their stance after £80m bid revealed and turned down yesterday. But it didn’t change Chelsea plans.

Chelsea keep contacts/talks alive.","","https://pbs.twimg.com/media/F2JD1vwWsBkkQBt?format=jpg&name=small","38K","3.2K","853"
"2023-07-28T17:28:36.000Z","image","Official UEFA statement confirms they have banned Juventus from competing in Conference League this year due to capital gains case. 🚨⚪️⚫️

€20m fine also been given, €10m of that is conditional based on financial results.","","https://pbs.twimg.com/media/F2I_On7WsAEwOme?format=jpg&name=small","45K","5.4K","1.3K"
"2023-07-28T17:06:47.000Z","image","The agreement between AC Milan and Valencia for Yunus Musah is around €18m fixed fee plus €2/3m add ons.

Details being sorted, official documents to be prepared/checked then here we go.

Matter of time. ⏳⌛️AC Milan reached verbal agreement with Valencia to sign Yunus Musah! Positive talks took place as revealed earlier and the two clubs agreed on terms of the deal 🚨🔴⚫️🇺🇸 #ACMilan

Milan, expected to send official bid as formal step then deal will be done with medical next week.","","https://pbs.twimg.com/media/F2IemiiXgAAixuH?format=jpg&name=small","13K","1.1K","147"
"2023-07-28T17:02:40.000Z","image","Manchester United have rejected West Ham proposal for Harry Maguire out of hand. 🚨🔴 #MUFC

Official bid was worth £20m, as called by  — Man United want more than this to let Harry leave.","","https://pbs.twimg.com/media/F2I5sotXoAMVkOk?format=jpg&name=small","68K","6.3K","2.8K"
"2023-07-28T16:50:51.000Z","image","Torino manager Jurić on talks with West Ham: “We want Nikola Vlasić, he wants to return. But West Ham asking price is too big for us”. ⚒️ #WHUFC

“We hope to find an agreement but we can’t make it happen now”.","","https://pbs.twimg.com/media/F2I2_kuXoBUdhyY?format=jpg&name=small","12K","689","100"
"2023-07-28T16:42:05.000Z","image","EXCL: Matthias Jaissle, here posing with his agents after signing contract as new Al Ahli manager 🚨🟢🇸🇦

Deal sealed on three year contract valid until June 2026.

Jaissle leaves RB Salzburg and joins Al Ahli… with Firmino, Mahrez, Mendy and soon Saint Maximin.

Here we go ✔️","","https://pbs.twimg.com/media/F2I0_CxXoAYVIdp?format=jpg&name=small","19K","2.3K","492"
"2023-07-28T12:56:14.000Z","image","Sadio Mané & Al Nassr, matter of time… as deal is being finalised between all the parties involved 🟡🔵🇸🇦 #AlNassrSadio Mané and Al Nassr, deal getting closer as reported yesterday night — talks are at advanced stages today 🟡🔵🇸🇦

Deal not sealed yet but progressing well since yesterday night ⏳

Told Bayern and Al Nassr are in direct contact today to reach an agreement as soon as possible.","","https://pbs.twimg.com/media/F2HyUekXwAAljT_?format=jpg&name=small","20K","1.6K","301"
"2023-07-28T12:55:21.000Z","text","always said… Amrabat is on the list. Priority striker. Then Amrabat talks. Ask to those who said since Monday that it was imminent 😀 and €35m bid they mentioned, what happened? 🤷🏼‍♂️

No talks this week. It will be discussed after the striker.","","","95","4","10"
"2023-07-28T12:31:32.000Z","image","Stephy Mavididi will complete medical and signing as new Leicester player on Saturday 🚨🔵🦊 #LCFC

Agreement on €7.5m plus sell-on clause between clubs.","","https://pbs.twimg.com/media/F2H7o8pW0AIzLWm?format=jpg&name=small","13K","850","142"
